URL,ID,Title,Adress,Built_in_Year,Floors,Type,Price,Location,Bath(s),Area,Purpose,Bedroom(s),Added,img_URLS
https://www.zameen.com/Property/gulshan_e_maymar_gulshan_e_maymar_sector_y_flat_available_for_sale_1100_square_feet_sector_y_4-45743078-6761-1.html,45743078,Flat Available For Sale 1100 Square Feet Sector Y 4,"Gulshan-e-Maymar - Sector Y, Gulshan-e-Maymar, Gadap Town, Karachi, Sindh",,,Flat,80 Lakh,"Gadap Town, Karachi, Sindh",3,122 Sq. Yd.,For Sale,3,3 days ago,"https://media.zameen.com/thumbnails/221835228-800x600.jpeg,https://media.zameen.com/thumbnails/221835228-800x600.jpeg,https://media.zameen.com/thumbnails/221835229-800x600.jpeg,https://media.zameen.com/thumbnails/221835285-800x600.jpeg,https://img.youtube.com/vi/5tB-sxyO85c/sddefault.jpg,https://img.youtube.com/vi/5tB-sxyO85c/default.jpg"
https://www.zameen.com/Property/malir_cantonment_saima_presidency_saima_presidency_2_bed_with_3_bathroom_d_d_1200_sqft_for_sale-44732022-9884-1.html,44732022,Saima Presidency 2 Bed With 3 Bathroom D D 1200 Sqft For Sale,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",2021,in Building12,Flat,1.6 Crore,"Cantt, Karachi, Sindh",3,133 Sq. Yd.,For Sale,2,10 hours ago,"https://media.zameen.com/thumbnails/211094595-800x600.jpeg,https://media.zameen.com/thumbnails/211094595-800x600.jpeg,https://media.zameen.com/thumbnails/211094596-800x600.jpeg,https://media.zameen.com/thumbnails/211094611-800x600.jpeg"
https://www.zameen.com/Property/saadi_road_tulip_tower_2200_square_feet_flat_in_tulip_tower_for_sale-40326828-10827-1.html,40326828,2200 Square Feet Flat In Tulip Tower For sale,"Tulip Tower, Saadi Road, Karachi, Sindh",,,Flat,1.95 Crore,"Saadi Road, Karachi, Sindh",3,211 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/212288958-800x600.jpeg,https://media.zameen.com/thumbnails/212288958-800x600.jpeg,https://media.zameen.com/thumbnails/212288981-800x600.jpeg,https://media.zameen.com/thumbnails/212289090-800x600.jpeg,https://img.youtube.com/vi/ZGyhvMYeQpM/sddefault.jpg,https://img.youtube.com/vi/ZGyhvMYeQpM/default.jpg"
https://www.zameen.com/Property/jinnah_avenue_metropolis_residency_metropolis_residency_main_jinnah_avenue-44409326-11073-1.html,44409326,Metropolis Residency Main Jinnah Avenue,"Metropolis Residency, Jinnah Avenue, Karachi, Sindh",2022,in Building12,Flat,2.6 Crore,"Jinnah Avenue, Karachi, Sindh",4,217 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/206253351-800x600.jpeg,https://media.zameen.com/thumbnails/206253351-800x600.jpeg,https://media.zameen.com/thumbnails/206253374-800x600.jpeg,https://media.zameen.com/thumbnails/206254047-800x600.jpeg"
https://www.zameen.com/Property/malir_cantonment_saima_presidency_saima_presidency_2_bed_with_3_bathrooms_d_d_for_sale_1200_sqft-44732053-9884-1.html,44732053,Saima Presidency 2 Bed with 3 Bathrooms D D For Sale 1200 SQFT,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",2021,in Building12,Flat,1.6 Crore,"Cantt, Karachi, Sindh",3,133 Sq. Yd.,For Sale,2,10 hours ago,"https://media.zameen.com/thumbnails/211132251-800x600.jpeg,https://media.zameen.com/thumbnails/211132251-800x600.jpeg,https://media.zameen.com/thumbnails/211132252-800x600.jpeg,https://media.zameen.com/thumbnails/211132262-800x600.jpeg"
https://www.zameen.com/Property/malir_cantonment_saima_presidency_saima_presidency_flat_for_sale_in_cantt_karachi-44585647-9884-1.html,44585647,Saima Presidency Flat For Sale In Cantt Karachi,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",2021,,Flat,1.5 Crore,"Cantt, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,10 hours ago,"https://media.zameen.com/thumbnails/206253329-800x600.jpeg,https://media.zameen.com/thumbnails/206253329-800x600.jpeg,https://media.zameen.com/thumbnails/206253335-800x600.jpeg,https://media.zameen.com/thumbnails/206253465-800x600.jpeg"
https://www.zameen.com/Property/malir_cantonment_saima_presidency_saima_presidency_2_bed_d_d_1100_sq_ft-42892120-9884-1.html,42892120,Saima Presidency 2 Bed D D 1100 Sq Ft,"Saima Presidency, Malir Cantonment, Cantt, Karachi, Sindh",2020,in Building15,Flat,1.4 Crore,"Cantt, Karachi, Sindh",2,122 Sq. Yd.,For Sale,2,10 hours ago,"https://media.zameen.com/thumbnails/206253190-800x600.jpeg,https://media.zameen.com/thumbnails/206253190-800x600.jpeg,https://media.zameen.com/thumbnails/206253268-800x600.jpeg,https://media.zameen.com/thumbnails/206253457-800x600.jpeg"
https://www.zameen.com/Property/karachi_scheme_33_best_options_for_flat_is_available_for_sale_in_scheme_33-40815435-495-1.html,40815435,Best Options For Flat Is Available For sale In Scheme 33,"Scheme 33, Karachi, Sindh",,,Flat,1.5 Crore,"Scheme 33, Karachi, Sindh",3,183 Sq. Yd.,For Sale,3,10 hours ago,"https://media.zameen.com/thumbnails/212289013-800x600.jpeg,https://media.zameen.com/thumbnails/212289013-800x600.jpeg,https://media.zameen.com/thumbnails/212289023-800x600.jpeg,https://media.zameen.com/thumbnails/212289524-800x600.jpeg,https://img.youtube.com/vi/HpZGpDtdp-M/sddefault.jpg,https://img.youtube.com/vi/HpZGpDtdp-M/default.jpg"
https://www.zameen.com/Property/gulshan_e_iqbal_gulshan_e_iqbal_block_5_centrally_located_prime_location_house_in_gulshan_e_iqbal_block_5_is_available_for_sale-44071057-6866-1.html,44071057,Centrally Located Prime Location House In Gulshan-e-Iqbal - Block 5 Is Available For sale,"Gulshan-e-Iqbal - Block 5, Gulshan-e-Iqbal, Gulshan-e-Iqbal Town, Karachi, Sindh",,,House,5.8 Crore,"Gulshan-e-Iqbal Town, Karachi, Sindh",-,240 Sq. Yd.,For Sale,-,13 hours ago,"https://media.zameen.com/thumbnails/212715480-800x600.jpeg,https://media.zameen.com/thumbnails/212715480-800x600.jpeg,https://media.zameen.com/thumbnails/212715482-800x600.jpeg,https://media.zameen.com/thumbnails/212715522-800x600.jpeg,https://img.youtube.com/vi/xsOcBVQTh_w/sddefault.jpg,https://img.youtube.com/vi/xsOcBVQTh_w/default.jpg"
https://www.zameen.com/Property/karachi_shahra_e_faisal_get_this_amazing_prime_location_2000_square_feet_flat_available_in_shahra_e_faisal-43090392-310-1.html,43090392,Get This Amazing Prime Location 2000 Square Feet Flat Available In Shahra-e-Faisal,"Shahra-e-Faisal, Karachi, Sindh",,,Flat,4.75 Crore,"Shahra-e-Faisal, Karachi, Sindh",3,222 Sq. Yd.,For Sale,3,13 hours ago,"https://media.zameen.com/thumbnails/212635489-800x600.jpeg,https://media.zameen.com/thumbnails/212635489-800x600.jpeg,https://media.zameen.com/thumbnails/212635496-800x600.jpeg,https://media.zameen.com/thumbnails/212635519-800x600.jpeg"
